ID_USER,DATE,LAT,LONG,ID_VENUE,SUBCATEGORIA_VENUE,CATEGORIA_MAE,PAIS,CIDADE,BAIRRO,GENERO,OFFSET_HORARIO,CIDADE__PELO_METODO2,PAIS_PELO_METODO2,geometry,index_right,Bairro
 59907035,2014-02-12T15:54:32Z,-25.4691758047,-49.2825208604,4ea6a728f9f4564b4c5f8bec,Sandwich-Place,Sandwiches,Brasil,Curitiba,notFound,male,-120,Curitiba,Brazil            ,POINT (-49.2825208604 -25.4691758047),4,GUAÍRA
 21015914,2014-03-24T19:46:41Z,-25.4741540315,-49.2900125549,4f5678dee4b0b1792de1b0b4,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2900125549 -25.4741540315),20,PORTÃO
 21015914,2014-03-24T19:46:41Z,-25.4741540315,-49.2900125549,4f5678dee4b0b1792de1b0b4,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2900125549 -25.4741540315),20,PORTÃO
 43112636,2014-04-24T02:45:41Z,-25.4625139207,-49.2779671403,506392dce4b033080184462c,Soccer-Stadium,Soccer,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2779671403 -25.4625139207),0,ÁGUA VERDE
 37412621,2014-04-24T02:47:00Z,-25.4381559118,-49.2790735502,52ddec7d11d2052bdd2c8ace,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2790735502 -25.4381559118),49,CENTRO
 72958760,2014-04-24T02:47:58Z,-25.4908519915,-49.3196416894,52f84f08498eca3c2d0b7404,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3196416894 -25.4908519915),66,CIDADE INDUSTRIAL DE CURITIBA
 84158481,2014-04-24T02:48:57Z,-25.44455574,-49.268935966,5353fb99498e7c38a9b3eb1b,Home-(private),Home,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.268935966 -25.44455574),26,REBOUÇAS
 29031527,2014-04-24T02:49:17Z,-25.4753430713,-49.333150083,4d286b90068e8cfa402ac54c,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.333150083 -25.4753430713),11,CAMPO COMPRIDO
 3459415,2014-04-24T02:50:07Z,-25.4841908571,-49.2544126511,4c9799667605199ccc99caa3,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2544126511 -25.4841908571),44,HAUER
 77631630,2014-04-24T02:54:30Z,-25.44455574,-49.268935966,532f9bb1498e2c3dfa92f9c6,Home-(private),Home,Brasil,notFound,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.268935966 -25.44455574),26,REBOUÇAS
 20242697,2014-04-24T02:55:03Z,-25.474123729,-49.2511128893,4b91c022f964a520b1d433e3,Fast-Food-Restaurant,Fast-Food,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2511128893 -25.474123729),44,HAUER
 20242697,2014-04-24T02:55:23Z,-25.4780310624,-49.2494773865,4d423abedababa7a4cbf4684,Drugstore-/-Pharmacy,Pharmacy,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2494773865 -25.4780310624),44,HAUER
 20242697,2014-04-24T02:55:32Z,-25.4803168092,-49.2511940002,4f1cbd620cd67469c7b833fb,Neighborhood,Neighborhood,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2511940002 -25.4803168092),44,HAUER
 20242697,2014-04-24T02:55:47Z,-25.4866957159,-49.2486661415,508c687ee4b0988212077980,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2486661415 -25.4866957159),35,BOQUEIRÃO
 71853835,2014-04-24T03:02:39Z,-25.4968692532,-49.2790735502,4f73a829e4b02a1c5db1c8d0,Home-(private),Home,Brasil,notFound,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2790735502 -25.4968692532),43,CAPÃO RASO
 4960997,2014-04-24T03:03:21Z,-25.4366476617,-49.2574167252,4ba6720af964a520415339e3,Bus-Station,Bus-Station,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2574167252 -25.4366476617),31,JARDIM BOTÂNICO
 55973423,2014-04-24T03:03:50Z,-25.4611146056,-49.289212915,51b3383f498e7b6ccaee2abc,Home-(private),Home,Brasil,notFound,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.289212915 -25.4611146056),0,ÁGUA VERDE
 28598614,2014-04-24T03:09:40Z,-25.4114452593,-49.2284034446,500de18529a6fb56a63c56d6,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2284034446 -25.4114452593),40,BACACHERI
 14127406,2014-04-24T03:26:10Z,-25.4054506311,-49.3283587387,4b9bd356f964a520e12936e3,Italian-Restaurant,Italian,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3283587387 -25.4054506311),74,SANTA FELICIDADE
 8127753,2014-04-24T03:32:19Z,-25.4064247537,-49.2573972271,4e513326ae6051db8de47e78,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2573972271 -25.4064247537),24,AHÚ
 13943296,2014-04-24T03:32:56Z,-25.4681525456,-49.2952315293,4c5f54c01e5cd13a0c6a9fed,Fast-Food-Restaurant,Fast-Food,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2952315293 -25.4681525456),20,PORTÃO
 58170699,2014-04-24T03:34:45Z,-25.4366476617,-49.2574167252,4ba6720af964a520415339e3,Bus-Station,Bus-Station,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2574167252 -25.4366476617),31,JARDIM BOTÂNICO
 60870197,2014-04-24T03:38:05Z,-25.4671309781,-49.2486661415,5210172311d25e7b65daa5c9,Home-(private),Home,Brasil,notFound,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2486661415 -25.4671309781),17,GUABIROTUBA
 84249997,2014-04-24T04:04:55Z,-25.4805654266,-49.3001984105,50e4ae72e4b0332f5c82f5f2,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3001984105 -25.4805654266),20,PORTÃO
 19365580,2014-04-24T04:33:35Z,-25.4283697097,-49.2790735502,51b15ac28bbdc0f339e4193c,Home-(private),Home,Brasil,Curitiba,São-Francisco,male,-180,Curitiba,Brazil            ,POINT (-49.2790735502 -25.4283697097),6,SÃO FRANCISCO
 8744255,2014-04-24T05:05:50Z,-25.4305990258,-49.2749970175,4f11a9a1e4b0f2c211952142,Road,Road,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2749970175 -25.4305990258),49,CENTRO
 59693706,2014-04-24T05:28:32Z,-25.436492641,-49.285504818,4b91687ff964a5200dba33e3,Nightclub,Nightclub,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.285504818 -25.436492641),51,BATEL
 8744255,2014-04-24T05:41:32Z,-25.4372973387,-49.2741852105,4daf70ee6a23d0da7ea03099,Drugstore-/-Pharmacy,Pharmacy,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2741852105 -25.4372973387),49,CENTRO
 20242697,2014-04-24T05:43:18Z,-25.5121819798,-49.3296122786,4ef0d3d32c5b9617dadd4152,Neighborhood,Neighborhood,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3296122786 -25.5121819798),66,CIDADE INDUSTRIAL DE CURITIBA
 20242697,2014-04-24T05:43:26Z,-25.5074176861,-49.3399364346,52280887498e75aec7d24e65,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3399364346 -25.5074176861),66,CIDADE INDUSTRIAL DE CURITIBA
 55696448,2014-04-24T05:50:43Z,-25.437721,-49.345488,526c73a3498efb5eab7dfc83,Government-Building,Government,Brasil,notFound,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.345488 -25.437721),11,CAMPO COMPRIDO
 79689697,2014-04-24T05:53:52Z,-25.4624891432,-49.2892896601,50f5fc0ce4b023f5b379aeb2,Scenic-Lookout,Scenic-Lookout,Brasil,Grupo-Local-De-Galáxias,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2892896601 -25.4624891432),0,ÁGUA VERDE
