ID_USER,DATE,CATEGORIA_MAE,Bairro,LAT,LONG,HOUR,DAY_OF_WEEK,DAY_NAME,PURPOSE
12719602,2014-04-24 06:44:40-03:00,Building,SÃO FRANCISCO,-25.4249560368,-49.2807542446,6,3,Thursday,OTHER
12757247,2014-04-24 06:45:48-03:00,School,MERCÊS,-25.4279468135,-49.2929291725,6,3,Thursday,WORK
19807468,2014-04-24 06:48:14-03:00,Campaign,ALTO DA GLÓRIA,-25.4176412114,-49.264776013,6,3,Thursday,OTHER
4410530,2014-04-24 06:48:23-03:00,Administrative-Building,ÁGUA VERDE,-25.4441083283,-49.2791898853,6,3,Thursday,WORK
16535702,2014-04-24 06:53:03-03:00,Hotel,CENTRO,-25.4377157436,-49.276581064,6,3,Thursday,LEISURE
27633888,2014-04-24 06:53:11-03:00,Private-School,CENTRO,-25.4338546227,-49.2661717044,6,3,Thursday,WORK
48011155,2014-04-24 06:53:17-03:00,School,CAPÃO RASO,-25.5052773038,-49.2969349778,6,3,Thursday,WORK
82241476,2014-04-24 06:55:46-03:00,Cafeteria,PRADO VELHO,-25.4490928305,-49.2521272439,6,3,Thursday,LEISURE
59743017,2014-04-24 06:56:55-03:00,School,ÁGUA VERDE,-25.4445530089,-49.2766256159,6,3,Thursday,WORK
80734286,2014-04-24 07:00:51-03:00,School,CENTRO CÍVICO,-25.4235331698,-49.2696154118,7,3,Thursday,WORK
71086847,2014-04-24 07:01:34-03:00,High-School,PORTÃO,-25.4818465115,-49.2976728243,7,3,Thursday,WORK
57127468,2014-04-24 07:02:32-03:00,School,CENTRO CÍVICO,-25.4235331698,-49.2696154118,7,3,Thursday,WORK
38552896,2014-04-24 07:04:00-03:00,Academic-Building,CENTRO,-25.4268442088,-49.2618461607,7,3,Thursday,WORK
27903959,2014-04-24 07:05:57-03:00,Gym,BATEL,-25.4411102135,-49.279620575,7,3,Thursday,LEISURE
35414942,2014-04-24 07:06:23-03:00,Academic-Building,CENTRO,-25.4383660407,-49.2737991112,7,3,Thursday,WORK
62142513,2014-04-24 07:06:28-03:00,High-School,CRISTO REI,-25.4346229746,-49.2473426154,7,3,Thursday,WORK
82384736,2014-04-24 07:06:32-03:00,School,SÃO BRAZ,-25.4102201509,-49.3457868632,7,3,Thursday,WORK
49943633,2014-04-24 07:10:15-03:00,School,SÃO BRAZ,-25.4102201509,-49.3457868632,7,3,Thursday,WORK
83057564,2014-04-24 07:10:36-03:00,High-School,CENTRO,-25.425140379,-49.2630883603,7,3,Thursday,WORK
33355379,2014-04-24 07:10:52-03:00,High-School,PRADO VELHO,-25.4536462301,-49.2478423357,7,3,Thursday,WORK
4875191,2014-04-24 07:12:36-03:00,Office,HAUER,-25.4761429679,-49.2506675685,7,3,Thursday,WORK
62144241,2014-04-24 07:13:01-03:00,University,PRADO VELHO,-25.4509900162,-49.251512096,7,3,Thursday,WORK
67174161,2014-04-24 07:13:17-03:00,School,SÃO BRAZ,-25.4102201509,-49.3457868632,7,3,Thursday,WORK
32713175,2014-04-24 07:15:23-03:00,High-School,CIDADE INDUSTRIAL DE CURITIBA,-25.4975747316,-49.3093657494,7,3,Thursday,WORK
28824251,2014-04-24 07:16:24-03:00,Office,BATEL,-25.4403506174,-49.2835662375,7,3,Thursday,WORK
59007510,2014-04-24 07:17:35-03:00,Quad,CIDADE INDUSTRIAL DE CURITIBA,-25.4473107115,-49.3595169987,7,3,Thursday,LEISURE
20012758,2014-04-24 07:17:43-03:00,Office,ÁGUA VERDE,-25.467824576,-49.2813447118,7,3,Thursday,WORK
59007510,2014-04-24 07:17:49-03:00,Academic-Building,CIDADE INDUSTRIAL DE CURITIBA,-25.4475179944,-49.3593621254,7,3,Thursday,WORK
59007510,2014-04-24 07:17:59-03:00,Law-School,CIDADE INDUSTRIAL DE CURITIBA,-25.4473317267,-49.3594922122,7,3,Thursday,WORK
59007510,2014-04-24 07:18:08-03:00,Classroom,CIDADE INDUSTRIAL DE CURITIBA,-25.4473686218,-49.3595733643,7,3,Thursday,WORK
82241476,2014-04-24 07:20:53-03:00,Lab,PRADO VELHO,-25.4499509802,-49.2492326694,7,3,Thursday,WORK
47467010,2014-04-24 07:22:32-03:00,Law-School,MOSSUNGUÊ,-25.433132592,-49.3336951421,7,3,Thursday,WORK
42129631,2014-04-24 07:22:34-03:00,Neighborhood,CABRAL,-25.406979855,-49.2544430082,7,3,Thursday,HOME
317785,2014-04-24 07:22:50-03:00,Hotel,CENTRO,-25.4277530235,-49.2651200294,7,3,Thursday,LEISURE
14180401,2014-04-24 07:25:41-03:00,School,PORTÃO,-25.4658293325,-49.2964992072,7,3,Thursday,WORK
48851176,2014-04-24 07:25:53-03:00,City,CENTRO,-25.4297684239,-49.2719113827,7,3,Thursday,OTHER
82458643,2014-04-24 07:26:24-03:00,Office,PORTÃO,-25.4688550856,-49.2998913725,7,3,Thursday,WORK
52611494,2014-04-24 07:26:44-03:00,High-School,PRADO VELHO,-25.4536462301,-49.2478423357,7,3,Thursday,WORK
32003276,2014-04-24 07:28:10-03:00,Gym,CIDADE INDUSTRIAL DE CURITIBA,-25.4466848307,-49.3608427048,7,3,Thursday,LEISURE
26842177,2014-04-24 07:28:31-03:00,Academic-Building,PRADO VELHO,-25.4492084553,-49.2514543042,7,3,Thursday,WORK
33354080,2014-04-24 07:28:32-03:00,School,SÃO BRAZ,-25.4102201509,-49.3457868632,7,3,Thursday,WORK
10335150,2014-04-24 07:28:52-03:00,College-&-Education,REBOUÇAS,-25.4394380011,-49.2687892914,7,3,Thursday,WORK
10335150,2014-04-24 07:29:06-03:00,Lab,REBOUÇAS,-25.4394257431,-49.2686018719,7,3,Thursday,WORK
19484430,2014-04-24 07:31:38-03:00,Road,PORTÃO,-25.4706885081,-49.2942065133,7,3,Thursday,OTHER
68964041,2014-04-24 07:32:46-03:00,University,CIDADE INDUSTRIAL DE CURITIBA,-25.4459485417,-49.3589544296,7,3,Thursday,WORK
39686266,2014-04-24 07:33:29-03:00,University,PRADO VELHO,-25.4509900162,-49.251512096,7,3,Thursday,WORK
29019689,2014-04-24 07:34:29-03:00,High-School,BIGORRILHO,-25.4343610854,-49.2886590958,7,3,Thursday,WORK
39381689,2014-04-24 07:37:28-03:00,Neighborhood,CENTRO,-25.4323585582,-49.2697699725,7,3,Thursday,HOME
58267733,2014-04-24 07:37:35-03:00,University,CIDADE INDUSTRIAL DE CURITIBA,-25.4459485417,-49.3589544296,7,3,Thursday,WORK
12778574,2014-04-24 07:38:42-03:00,Hospital,REBOUÇAS,-25.4435694934,-49.2736308123,7,3,Thursday,OTHER
58267733,2014-04-24 07:38:55-03:00,Engineering,CIDADE INDUSTRIAL DE CURITIBA,-25.4445922081,-49.3621730804,7,3,Thursday,WORK
24758648,2014-04-24 07:39:25-03:00,Academic-Building,PRADO VELHO,-25.4492084553,-49.2514543042,7,3,Thursday,WORK
14266264,2014-04-24 07:41:52-03:00,Trade-School,PRADO VELHO,-25.4490041292,-49.2499550624,7,3,Thursday,WORK
25345076,2014-04-24 07:42:17-03:00,University,PRADO VELHO,-25.4509900162,-49.251512096,7,3,Thursday,WORK
32993860,2014-04-24 07:46:06-03:00,University,PRADO VELHO,-25.4509900162,-49.251512096,7,3,Thursday,WORK
8101402,2014-04-24 07:46:54-03:00,Dentist's-Office,CIDADE INDUSTRIAL DE CURITIBA,-25.4484734633,-49.3592146033,7,3,Thursday,OTHER
48858791,2014-04-24 07:47:09-03:00,Building,BATEL,-25.4381927441,-49.2863189548,7,3,Thursday,OTHER
46670465,2014-04-24 07:47:11-03:00,School,SÃO BRAZ,-25.4102201509,-49.3457868632,7,3,Thursday,WORK
14180401,2014-04-24 07:48:25-03:00,Entertainment,PORTÃO,-25.4656540866,-49.296816131,7,3,Thursday,LEISURE
22480666,2014-04-24 07:48:51-03:00,University,JARDIM BOTÂNICO,-25.4448975112,-49.2384572242,7,3,Thursday,WORK
20923176,2014-04-24 07:49:25-03:00,Academic-Building,PRADO VELHO,-25.4491550154,-49.2512464862,7,3,Thursday,WORK
63383123,2014-04-24 07:49:38-03:00,Road,FANNY,-25.4717321518,-49.2571052624,7,3,Thursday,OTHER
1022870,2014-04-24 07:51:06-03:00,Nightclub,BACACHERI,-25.3959556428,-49.2404508759,7,3,Thursday,LEISURE
25940904,2014-04-24 07:51:14-03:00,Student-Center,BIGORRILHO,-25.432300064,-49.2917802192,7,3,Thursday,WORK
18139721,2014-04-24 07:54:24-03:00,Pharmacy,REBOUÇAS,-25.4469593956,-49.26442957,7,3,Thursday,PURCHASE
5893621,2014-04-24 07:54:35-03:00,Communications,CIDADE INDUSTRIAL DE CURITIBA,-25.447329499,-49.3595269134,7,3,Thursday,WORK
24603009,2014-04-24 07:55:12-03:00,College-&-Education,REBOUÇAS,-25.4394380011,-49.2687892914,7,3,Thursday,WORK
51824796,2014-04-24 07:57:34-03:00,Hospital,ÁGUA VERDE,-25.464842658,-49.2910275936,7,3,Thursday,OTHER
36998638,2014-04-24 07:58:04-03:00,High-School,SEMINÁRIO,-25.4471236466,-49.2984948657,7,3,Thursday,WORK
70885775,2014-04-24 07:59:15-03:00,High-School,CENTRO,-25.425140379,-49.2630883603,7,3,Thursday,WORK
50087689,2014-04-24 07:59:18-03:00,College-&-Education,CRISTO REI,-25.4324627169,-49.2490397029,7,3,Thursday,WORK
2029905,2014-04-24 08:01:27-03:00,High-School,BATEL,-25.4473177994,-49.2938153284,8,3,Thursday,WORK
26309933,2014-04-24 08:02:40-03:00,Academic-Building,CIDADE INDUSTRIAL DE CURITIBA,-25.4462391827,-49.359254837,8,3,Thursday,WORK
80168921,2014-04-24 08:03:29-03:00,Supermarket,CRISTO REI,-25.4340897938,-49.2451429367,8,3,Thursday,PURCHASE
58612070,2014-04-24 08:04:57-03:00,University,CAMPO COMPRIDO,-25.4565294875,-49.3163697288,8,3,Thursday,WORK
50611861,2014-04-24 08:05:00-03:00,Education,BIGORRILHO,-25.4348191896,-49.3054183049,8,3,Thursday,WORK
58612070,2014-04-24 08:05:28-03:00,Classroom,CAMPO COMPRIDO,-25.456487179,-49.3164489868,8,3,Thursday,WORK
23984654,2014-04-24 08:05:38-03:00,University,CIDADE INDUSTRIAL DE CURITIBA,-25.4459485417,-49.3589544296,8,3,Thursday,WORK
23984654,2014-04-24 08:05:45-03:00,Academic-Building,CIDADE INDUSTRIAL DE CURITIBA,-25.4462391827,-49.359254837,8,3,Thursday,WORK
23984654,2014-04-24 08:05:49-03:00,Academic-Building,CIDADE INDUSTRIAL DE CURITIBA,-25.4463538893,-49.3593137492,8,3,Thursday,WORK
22455468,2014-04-24 08:06:05-03:00,High-School,MERCÊS,-25.4176183175,-49.2964100726,8,3,Thursday,WORK
20310452,2014-04-24 08:06:41-03:00,Park,SANTO INÁCIO,-25.4270747562,-49.3101596832,8,3,Thursday,LEISURE
36097691,2014-04-24 08:06:55-03:00,Education,GUABIROTUBA,-25.4610221923,-49.2413449287,8,3,Thursday,WORK
23616171,2014-04-24 08:07:14-03:00,Auditorium,PRADO VELHO,-25.4510217618,-49.2506626205,8,3,Thursday,LEISURE
62687480,2014-04-24 08:07:48-03:00,Classroom,CIDADE INDUSTRIAL DE CURITIBA,-25.4461069111,-49.3595517,8,3,Thursday,WORK
35646455,2014-04-24 08:08:56-03:00,University,PRADO VELHO,-25.4509900162,-49.251512096,8,3,Thursday,WORK
7572460,2014-04-24 08:09:04-03:00,Office,SÃO FRANCISCO,-25.4248611275,-49.281095835,8,3,Thursday,WORK
35646455,2014-04-24 08:09:24-03:00,Stadium,PRADO VELHO,-25.4536983246,-49.2516373826,8,3,Thursday,LEISURE
80925363,2014-04-24 08:09:40-03:00,Bakery,BIGORRILHO,-25.4349536151,-49.3050121862,8,3,Thursday,PURCHASE
42505223,2014-04-24 08:09:50-03:00,High-School,BIGORRILHO,-25.4343610854,-49.2886590958,8,3,Thursday,WORK
34620909,2014-04-24 08:09:59-03:00,College-&-Education,REBOUÇAS,-25.4394380011,-49.2687892914,8,3,Thursday,WORK
12928580,2014-04-24 08:10:45-03:00,High-School,BIGORRILHO,-25.4343610854,-49.2886590958,8,3,Thursday,WORK
45856678,2014-04-24 08:11:37-03:00,Office,HUGO LANGE,-25.414523,-49.242376,8,3,Thursday,WORK
80925363,2014-04-24 08:12:05-03:00,Café,BIGORRILHO,-25.4345097121,-49.3029568728,8,3,Thursday,LEISURE
80925363,2014-04-24 08:13:03-03:00,Bakery,BIGORRILHO,-25.4340588129,-49.301644482,8,3,Thursday,PURCHASE
43492408,2014-04-24 08:13:15-03:00,School,PORTÃO,-25.4658293325,-49.2964992072,8,3,Thursday,WORK
34620909,2014-04-24 08:13:23-03:00,Cafeteria,REBOUÇAS,-25.4396879314,-49.269106726,8,3,Thursday,LEISURE
12059030,2014-04-24 08:13:24-03:00,Residential,BATEL,-25.4425631798,-49.2829721431,8,3,Thursday,HOME
76618260,2014-04-24 08:13:55-03:00,Administrative-Building,PRADO VELHO,-25.4524563085,-49.2513307929,8,3,Thursday,WORK
7213078,2014-04-24 08:14:40-03:00,University,CIDADE INDUSTRIAL DE CURITIBA,-25.4459485417,-49.3589544296,8,3,Thursday,WORK
72897155,2014-04-24 08:14:53-03:00,University,PORTÃO,-25.4768173103,-49.3021050535,8,3,Thursday,WORK
19245107,2014-04-24 08:15:46-03:00,Academic-Building,PRADO VELHO,-25.4492084553,-49.2514543042,8,3,Thursday,WORK
37412621,2014-04-24 08:15:59-03:00,Home,CENTRO,-25.4381559118,-49.2790735502,8,3,Thursday,HOME
80925363,2014-04-24 08:16:48-03:00,Professional,BIGORRILHO,-25.4344136702,-49.3024467702,8,3,Thursday,WORK
80925363,2014-04-24 08:18:25-03:00,Bus,BIGORRILHO,-25.4341569379,-49.302184292,8,3,Thursday,OTHER
80680163,2014-04-24 08:18:29-03:00,University,SANTO INÁCIO,-25.424516685,-49.31848526,8,3,Thursday,WORK
9643369,2014-04-24 08:18:41-03:00,Office,CENTRO,-25.4318996521,-49.2720765457,8,3,Thursday,WORK
67318337,2014-04-24 08:20:28-03:00,Office,CIDADE INDUSTRIAL DE CURITIBA,-25.5173863263,-49.3248796463,8,3,Thursday,WORK
